"TYP","Type of Volume","MEA","Measure","BEVT","Beverage Type","SUB","Beverage Subtype/Strength","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","2","Wine","10","Total wine","A","Annual","2009","2009",65600,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","2","Wine","10","Total wine","A","Annual","2010","2010",68451,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","2","Wine","10","Total wine","A","Annual","2011","2011",68000,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","2","Wine","10","Total wine","A","Annual","2012","2012",69044,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","2","Wine","10","Total wine","A","Annual","2013","2013",68719,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","2","Wine","10","Total wine","A","Annual","2014","2014",68890,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","2","Wine","10","Total wine","A","Annual","2015","2015",70219,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","2","Wine","10","Total wine","A","Annual","2016","2016",70862,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","2","Wine","10","Total wine","A","Annual","2000","2000",3.25,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","2","Wine","10","Total wine","A","Annual","2001","2001",3.27,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","2","Wine","10","Total wine","A","Annual","2002","2002",3.26,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","2","Wine","10","Total wine","A","Annual","2003","2003",3.38,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","2","Wine","10","Total wine","A","Annual","2004","2004",3.48,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","2","Wine","10","Total wine","A","Annual","2005","2005",3.56,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","2","Wine","10","Total wine","A","Annual","2006","2006",3.57,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","2","Wine","10","Total wine","A","Annual","2007","2007",3.75,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","2","Wine","10","Total wine","A","Annual","2008","2008",3.71,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","2","Wine","10","Total wine","A","Annual","2009","2009",3.78,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","2","Wine","10","Total wine","A","Annual","2010","2010",3.87,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","2","Wine","10","Total wine","A","Annual","2011","2011",3.79,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","2","Wine","10","Total wine","A","Annual","2012","2012",3.78,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","2","Wine","10","Total wine","A","Annual","2013","2013",3.69,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","2","Wine","10","Total wine","A","Annual","2014","2014",3.64,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","2","Wine","10","Total wine","A","Annual","2015","2015",3.66,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","2","Wine","10","Total wine","A","Annual","2016","2016",3.64,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2003","2003",19439,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2004","2004",19336,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2005","2005",19658,,
